Timestamp,Username,VideoID,Comment,Date
2023-07-08T12:47:50Z,@MB-cd7eo,3736Pd_hwFQ,Thank you. This information is not easy to find together. Very useful. All the best!,2023-07-08T12:47:50Z
2023-07-08T12:35:44Z,@venkatprasath01,3736Pd_hwFQ,"Great video 👏 Though I know few of the shortcuts already, It's nice to have a consolidate video which I can comeback and revisit anytime in future. Thanks again!! 😎",2023-07-08T12:35:44Z
2023-07-09T16:45:05Z,@Thuvu5,3736Pd_hwFQ,Great to hear! 💖,2023-07-09T16:45:05Z
2023-07-08T12:28:20Z,@sagarv8351,3736Pd_hwFQ,It was really helpful. Thanks for sharing a knowledge to us. Keep posting a more content like this 🔥💥,2023-07-08T12:28:20Z
2023-07-08T11:00:01Z,@isalutfi,3736Pd_hwFQ,Thank you for this helpful content. Greetings from Indonesia 🇮🇩. Currently am learning data science.,2023-07-08T11:00:01Z
2023-07-08T10:48:10Z,@baotrancao206,3736Pd_hwFQ,many thanks from Viet Nam,2023-07-08T10:48:10Z
2023-07-08T10:30:14Z,@faisalgul6904,3736Pd_hwFQ,"Thank you dear 

Can anyone recommend Msc Data Analytics/Business Analytics online studies ?",2023-07-08T10:30:14Z
2023-07-08T10:05:52Z,@beloaded3736,3736Pd_hwFQ,Thank You ma'am 🌹,2023-07-08T10:05:52Z
2023-07-08T10:04:02Z,@thankyouthankyou1172,3736Pd_hwFQ,thank you!,2023-07-08T10:04:02Z
2023-07-08T09:46:52Z,@ANIRUDHVISVESVARAN,3736Pd_hwFQ,"Thx sister ... ❤
In few days I am going to start my course int Msc Data Science",2023-07-08T09:47:49Z
2023-07-08T09:55:48Z,@Thuvu5,3736Pd_hwFQ,Amazing! All the best to you! 🎉,2023-07-08T09:55:48Z
2023-07-08T10:00:24Z,@ANIRUDHVISVESVARAN,3736Pd_hwFQ,@@Thuvu5 thx sis,2024-06-18T02:27:58Z
2023-07-08T09:45:59Z,@autobase16,3736Pd_hwFQ,🎉🎉🎉🎉,2023-07-08T09:45:59Z
2023-11-02T00:46:55Z,@mariaguadalupevilchisvilch8689,tHbN-qYj9IY,Es un canal increíble. felicidades por su contenido,2023-11-02T00:46:55Z
2022-09-05T22:49:26Z,@dantesenpai,XnTcKHfO8DY,Pd ¿Podrías hacer un vídeo hablando más sobre la similitud y los clusters? Por favor uwu,2022-09-05T22:49:26Z
2022-09-07T00:48:58Z,@quimicachida4179,XnTcKHfO8DY,"si, por supuesto",2022-09-07T00:48:58Z
2022-09-07T00:50:00Z,@quimicachida4179,XnTcKHfO8DY,"como que necesitas saber mas, para aclarar tus dudas y con ejercicios",2022-09-07T00:50:00Z
